ID,Car_Owner,Customer_Service
1760,No,"States have different rules and regulations pertaining to speed, radar detectors, even when light should be on.  Customer services reps should have a handout or be knowledgeable of a particular state's laws."
1779,Yes,They were very good and took care of what I needed. Very quick.
1782,Yes,The customer service people were very nice.  During my vacation I locked my keys in the car.  The rental company sent someone out with a new set of keys to unlock the car.
1802,No,the service at the airport was very convenient.  no lines at the service desk.
1808,Yes,"Agents usually try to get you to take insurance and pay for full tank of gas.  Some persist even after a ""no thanks.""  Even after noting preferences on my frequent user file that says I don't want them."
1831,No,Customer service was fine.  We didn't care for the off site location.  Would not use that car rental company at that airport again.
1854,No,"We had an issue with our last vacation car rental.  Instead of crediting the rental amount, the company issued a certificate for one free day (could have been 2, I don't exactly remember).  I would have rather had the credit for our current rental."
1897,Yes,long lines waiting for the rental pick.
1934,No,"needed: shorter lines & cleaner cars, friendlier reps"
1954,No,Everything went fine.  Folks were friendly and informed.
2029,Yes,"It was okay, we got the car quickly, which is the most important thing"
2061,Yes,"The rental clerk was nice, but I swear she was deaf.  We had to repeat everything twice and although we had a reservation she treated us like a walk in, so that all the information that we gave to reserve the car we had to repeat all over again."
2064,Yes,the rep was friendly but it was so loud in there that I could not hear what she was saying. I HATE having to walk across a big lot with all of my bags in search of my car which is always in the furthest corner.
2068,No,I expected customer service to recognize that I rent from their company every single day. I expect some difference for this loyalty.
2082,No,"The person who assisted me was not very friendly and didn't like to give the details I was asking for (gas refill packages, insurance, etc.)."
2109,Yes,No suggestions.  Customer Service was good.
2117,No,long lines moved quickly
2140,No,Customer service was outstanding. Got a free upgrade without even asking. Everyone was very courteous and friendly.
2144,Yes,Service was fast. Car was parked close-by.
2185,No,They had the class of car that I ordered.
2222,No,long lines waiting for the rental pick.
2230,No,"Anywhere you go you will find good customer service and bad customer service.  Since I have rented so many cars, there have been too many experiences to recall."
2236,No,Everyone was very friendly. They even drove us to the airport since we were running late for our flight.
2247,Yes,All the people I dealt with were pleasant and helpful.
2275,Yes,we got the car quickly
2301,No,they were very nice
2306,No,Everything was fine with my last car rental.
2312,No,It was absolutely ATROCIOUS! My wife and I were in a foreign country  when we realized that our car had an expired license plate and expired proof of insurance!
2317,No,"It was a good experience, received an upgrade at no charge."
2329,Yes,"Customer service was hopeless. They care less about your having reserved a certain car, but they are quick to upgrade you to a better one when you start causing a fuss. It would be nicer if no fuss was required and you got upgraded by default."
2341,No,"it seems that they never have the class of car that I ordered.  also, the last time I got there earlier than I thought and they wouldn't let me have the car until the time that I had requested it because their computer wouldn't allow it."
2347,No,"The better the Customer service, the more likely it will be for me to rent from that company again."
2359,No,they were friendly
2410,No,It was not as bad as it usually is.
2414,Yes,We did not have any trouble with customer service. No complaints.
2464,No,slow and stupid
2485,No,They were friendly and helpful enough.
2491,No,I did not need to deal with customer service on my last vacation rental.
2501,No,"The customer service agent was helpful, but I find that providing all of the information to the agent takes too long.  It would be nice if I could provide all of the information to the agent prior to coming the rental place."
2516,Yes,My last rental experience for leisure was fine -- no service issues to speak of.
2558,No,Customer Service at Alamo was RUDE. We waited in line for over an hour to get our car. Car was bad. Had to change it few days later. Another family traveling with us was upgraded to a larger car as they were out of the type of car booked.
2565,No,service was excellent
2570,No,No problems
2574,Yes,customer service was OK
2584,No,No complaints.
2601,Yes,People were nice.  Service was fast.
2608,No,Customer is important for the enjoyment of the car.  If it's a bad experience we won't return to that company if we can avoid it.
2611,No,"Customer Service is great since you don't have to deal with any people, per se.  The car is ready and waiting for you and the shuttle just drops you off to it."
2619,No,very limited (which is good).  quickly received car.
2624,No,Good experience with all the rental co.'s I contacted. I Just called with rental dates and received pricing and selected rental co.
2644,Yes,No problems
2654,No,Customer service was fine
2659,Yes,"For leisure/vacation, I have never personally rented the car.  I have always left that up to my significant other."
2672,Yes,Customer service went out of their way to provide a car that would fit our needs
2771,No,"last time I rented a car was at Manchester, NH airport; flight landed at something like 10:30 at night, it was a snowstorm, I was the only person at the rental car, and they gave me a free upgrade to a more snow-worth vehicle, which I really appreciated."
2775,No,Waiting line is too long.  They need to speed up the process.
2820,No,"Our customer service representative was polite and well-dressed. He smiled appropriately and answered my questions, not from a rehearsed script, but from his own frame of reference. He shirt was neatly pressed and his hair was professionally coifed."
2851,No,they were fast and friendly.
2855,No,"I guess it really DOES ""try harder."""
2870,Yes,"I never had to deal with customer service. The bus dropped me off at my car, when I returned the car, I had my receipt at that moment. I then got on the bus and left. Never having to wait in a line for customer service."
2891,No,"They were actually very nice. It was in Rome and there was a language barrier, but we overcame it."
2901,Yes,They offered detailed directions.
2909,Yes,The woman at the counter was friendly and tried to accommodate me as best she could. The counter was close to the terminal and the whole thing was quick and expedient.
2944,No,Customer service was friendly and helpful.
2963,No,They were competent.
2992,No,"Very nice, free upgrade"
2993,No,"Customer service agent stated she did not have reserved model available and I would have to pay for upgrade to other model. I refused, and then received upgraded model at no charge."
3002,No,greater expedience
3056,No,"very friendly, brought the car to the hotel"
3077,No,The customer service was very friendly and knowledgeable.  She suggested to upgrade to the SUV and it worked out much better for our trip.
3078,No,it was fine
3118,No,Staff member was very pleasant. Provided map/directions to my hotel.
3135,No,"My last experience was  seamless.  The only thing I didn't like was having to fill the tank with gas before turning it in.  It was inconvenient, but I didn't want to pay the hefty fill-up charge to the rental company."
3152,Yes,Customer service was fine
3156,Yes,"The people were very nice.  Directions to and from our hotel, the rental company location and tourists attractions were given and they were happy to help us out."
3165,Yes,"I rented over the internet, and there were no problems with the reservation or pick-up of the vehicle."
3177,No,Customer service was fine as I recall. No problems.
3179,No,Customer service was extremely helpful.  They knew I was visiting my 91 year old mother and upgraded at no cost to a car that would be more comfortable for her.
3180,Yes,"They couldn't find my confirmation number in their system, which was rather frustrating."
3186,Yes,It was very late at night and the customer service representative was very obliging and courteous.
3207,No,fast service
3236,No,it was fine.
3243,No,"Penalties for smoking in non-smoking cars should be more severe, and include decapitation.  Customer service was not receptive."
3264,No,I had no problems with the service
3300,No,the line was slow but the agent was ok
3301,No,"They were great as far as I could tell, they explained what needed to be done to use the University pricing."
3315,No,"Well since I used to work for a car rental company and at the time I rented I was still working with the company, I was treated with nothing but respect and received a free upgrade as well."
3327,No,Its nice when you get in your car and it has already been started up with the A/C or heating going.
3348,No,My main concern was that the price quoted on the internet was not the price that I was invoiced.   I had to call the provider and straighten it out but it took time and was a hassle.
3382,No,They should upgrade me every time.
3387,Yes,The service was polite and professional. I was attended to quickly and courteously.
3409,Yes,Customer service was very good.
3411,Yes,"customer service was great until we returned the car.  I experienced an issue with damage to the car, and felt that things were left unanswered and still waiting for a response from them."
3416,Yes,Customer service was very good
3420,No,service was good.
3430,Yes,"the better the customer service, the sooner the vacation starts"
3441,Yes,Customer service is horrible. I reserved through on-line which did not indicate/state I had to provide proof of insurance during pickup. The manager denied the reservation and after long and rude argument he finally gave in.
3541,Yes,"Slow, long lineup"
3556,No,"Very good. willing to drop me off and pick me up from location, upgraded me to higher level due to availability"
3631,Yes,I would have to say that Enterprise car rental has the best customer service. They are very friendly and helpful.
3676,No,"The service I have is always good, I have used the same company for many years and I know the counter personnel personally.  It is always good to know that they are willing to help you in any situation."
3699,Yes,"It would be nice if they included maps to the airport drop off with the car, last time we got lost returning the car and almost missed the flight.  There was nothing on the exit that indicated rental returns.  Actually the one I really liked, was when we"
3705,No,Did not have any problems. My car was ready on time and it was the one I had asked for.
3707,Yes,"Last time I rented a car was when I went skiing with my whole family.  We got a Chevy Blazer.  We didn't think it was as large as a Ford Explorer, so we asked to switch.  The agent was very nice and gave us the Ford Explorer."
3712,No,"I did everything on-line - never talked to an agent during booking.  There were no problems, even though I had to switch car sizes after initial reservation. Agent on duty for pick-up was courteous."
3716,Yes,The company was overwhelmed by the number of customers verse the number of available agents and they were not articulating their situation to the customers well enough. I think we waited for almost 3 hours just to get a rental car. It was ridiculous.
3721,Yes,I didn't get the car I was told would be available.  There were some hidden fees added on to the price I was quoted.
3725,No,I recently renteda car and they were outstanding.  The customer service rep was very helpful and courteous.  They even let me extend my rental by a couple of hours for no charge at all. I was very pleased with my experience and I would go back.
3771,No,Provide more frequent pickup from the airport.
3785,Yes,The car should have been brought to us instead of us trying to find it in the lot.
3789,No,"My last car rental was in Costa Rica.  There was lots of red tape associated with renting the car, it took almost an hour.  I don't usually experience that type of problem in the US."
3795,No,"all went quite smoothly... it was Enterprise, so they even picked me up to get the car... it was very convenient."
3806,Yes,Having knowledgeable personnel is very important
